radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,605,3,4164,3075587,0,10.201,36.766,1000,1,1,,,0
LTE,605,1,10005,8453,0,10.196,36.766,1000,1,1,,,0
UMTS,605,2,137,263796,0,10.195,36.766,1000,1,1,,,0
UMTS,605,2,137,265976,0,10.196,36.766,1000,1,1,,,0
GSM,605,3,1154,12458,0,10.197,36.766,1000,1,1,,,0
UMTS,605,2,10005,8454,0,10.195,36.766,1000,1,1,,,0
LTE,605,3,4154,3102466,0,10.196,36.766,1000,1,1,,,0
UMTS,605,2,137,263801,0,10.193,36.766,1000,1,1,,,0
UMTS,605,3,2154,132770,0,10.195,36.766,1000,1,1,,,0
GSM,605,2,401,53834,0,10.196,36.766,1000,1,1,,,0
GSM,605,3,1154,12451,0,10.196,36.766,1000,1,1,,,0
UMTS,605,1,10005,65868,0,10.196,36.766,1000,1,1,,,0
UMTS,605,3,2154,162764,0,10.196,36.766,1000,1,1,,,0
UMTS,605,2,137,265981,0,10.196,36.766,1000,1,1,,,0
GSM,605,2,401,53835,0,10.197,36.766,1000,1,1,,,0
UMTS,605,3,2154,139583,0,10.197,36.766,1000,1,1,,,0
GSM,605,3,1154,11411,0,10.199,36.766,1000,1,1,,,0
UMTS,605,3,2154,133124,0,10.203,36.766,1000,1,1,,,0
LTE,605,3,4164,3082509,0,10.196,36.767,1000,1,1,,,0
UMTS,605,3,2154,132765,0,10.195,36.767,1000,1,1,,,0
UMTS,605,2,137,262275,0,10.203,36.767,3820,1,1,,,0
GSM,605,1,10005,334,0,10.196,36.767,1000,1,1,,,0
LTE,605,3,4164,3082513,0,10.196,36.768,1000,1,1,,,0
GSM,605,3,1154,12453,0,10.194,36.768,1000,1,1,,,0
GSM,605,2,401,53836,0,10.196,36.768,1000,1,1,,,0
UMTS,605,2,137,265977,0,10.196,36.768,1000,1,1,,,0
UMTS,605,2,137,265980,0,10.196,36.768,1000,1,1,,,0
GSM,605,2,417,50255,0,10.197,36.768,1000,1,1,,,0
UMTS,605,1,10005,65870,0,10.197,36.768,1000,1,1,,,0
UMTS,605,1,10005,67221,0,10.197,36.768,1000,1,1,,,0
UMTS,605,3,2154,133130,0,10.2,36.768,1000,1,1,,,0
UMTS,605,3,2154,163125,0,10.2,36.768,1000,1,1,,,0
UMTS,605,3,2154,133125,0,10.2,36.768,1000,1,1,,,0
UMTS,605,1,10005,67686,0,10.201,36.768,1000,1,1,,,0
UMTS,605,1,10005,67406,0,10.201,36.768,1000,1,1,,,0
GSM,605,2,137,1654,0,10.196,36.768,1000,1,1,,,0
GSM,605,2,137,1651,0,10.196,36.768,1000,1,1,,,0
GSM,605,1,10005,333,0,10.197,36.768,1000,1,1,,,0
LTE,605,1,10005,43013,0,10.198,36.769,1000,1,1,,,0
UMTS,605,2,137,263798,0,10.196,36.769,1000,1,1,,,0
GSM,605,3,1154,12973,0,10.195,36.769,1000,1,1,,,0
GSM,605,2,401,50404,0,10.199,36.769,2672,1,1,,,0
LTE,605,3,4164,3082507,0,10.196,36.769,1000,1,1,,,0
LTE,605,3,4154,3102465,0,10.196,36.769,1000,1,1,,,0
UMTS,605,1,10005,65872,0,10.195,36.769,1000,1,1,,,0
UMTS,605,3,2154,162768,0,10.196,36.769,1000,1,1,,,0
UMTS,605,3,2154,162763,0,10.196,36.769,1000,1,1,,,0
UMTS,605,2,137,265975,0,10.196,36.769,1000,1,1,,,0
UMTS,605,2,137,316281,0,10.196,36.769,1000,1,1,,,0
GSM,605,3,1245,24283,0,10.204,36.769,2226,1,1,,,0
GSM,605,2,401,53831,0,10.197,36.769,1000,1,1,,,0
LTE,605,3,4164,3082517,0,10.196,36.77,1000,1,1,,,0
UMTS,605,3,2154,132763,0,10.197,36.77,1000,1,1,,,0
UMTS,605,2,137,263795,0,10.196,36.77,1000,1,1,,,0
UMTS,605,1,10005,65869,0,10.194,36.77,1000,1,1,,,0
GSM,605,3,1154,11031,0,10.197,36.77,1000,1,1,,,0
GSM,605,2,401,53833,0,10.197,36.77,1000,1,1,,,0
GSM,605,3,1154,12457,0,10.198,36.77,1000,1,1,,,0
LTE,605,1,10005,8454,0,10.196,36.77,1000,1,1,,,0
GSM,605,2,401,53832,0,10.197,36.771,2446,1,1,,,0
GSM,605,3,1154,11033,0,10.197,36.771,1000,1,1,,,0
UMTS,605,2,137,317101,0,10.197,36.771,1000,1,1,,,0
UMTS,605,3,2164,818568,0,10.197,36.771,1000,1,1,,,0
GSM,605,2,401,51654,0,10.197,36.771,1000,1,1,,,0
LTE,605,3,4164,3102489,0,10.195,36.771,1000,1,1,,,0
UMTS,605,3,2154,133208,0,10.195,36.771,1000,1,1,,,0
GSM,605,2,137,3823,0,10.197,36.771,1000,1,1,,,0
UMTS,605,3,2154,133203,0,10.197,36.771,1498,1,1,,,0
GSM,605,2,401,51651,0,10.197,36.772,1000,1,1,,,0
GSM,605,2,401,51657,0,10.197,36.772,1000,1,1,,,0
GSM,605,2,137,3826,0,10.197,36.772,1000,1,1,,,0
UMTS,605,2,137,265978,0,10.197,36.772,1000,1,1,,,0
UMTS,605,2,137,265970,0,10.197,36.772,1000,1,1,,,0
UMTS,605,1,10005,67645,0,10.197,36.772,1000,1,1,,,0
UMTS,605,1,10001,66381,0,10.201,36.772,1000,1,1,,,0
GSM,605,1,10005,10106,0,10.212,36.76,1000,1,1,,,0
GSM,605,2,411,53855,0,10.208,36.761,1000,1,1,,,0
GSM,605,3,1154,12712,0,10.209,36.761,1000,1,1,,,0
UMTS,605,1,10005,75855,0,10.208,36.761,1285,1,1,,,0
UMTS,605,3,2154,163265,0,10.215,36.762,2186,1,1,,,0
GSM,605,3,1154,12047,0,10.216,36.762,1000,1,1,,,0
GSM,605,1,10005,10126,0,10.212,36.762,1000,1,1,,,0
UMTS,605,1,10005,75635,0,10.211,36.762,1000,1,1,,,0
UMTS,605,3,2154,139055,0,10.212,36.762,1000,1,1,,,0
GSM,605,3,1154,11077,0,10.216,36.763,1000,1,1,,,0
UMTS,605,1,10005,76250,0,10.215,36.764,1136,1,1,,,0
GSM,605,2,401,50266,0,10.204,36.764,1000,1,1,,,0
GSM,605,2,401,50263,0,10.204,36.764,1000,1,1,,,0
UMTS,605,1,10005,75665,0,10.208,36.764,1000,1,1,,,0
UMTS,605,1,10005,75659,0,10.208,36.764,1000,1,1,,,0
GSM,605,1,10005,10123,0,10.208,36.764,1000,1,1,,,0
UMTS,605,1,10005,75662,0,10.208,36.764,1000,1,1,,,0
UMTS,605,3,2154,162568,0,10.208,36.764,1000,1,1,,,0
UMTS,605,3,2154,162570,0,10.208,36.764,1000,1,1,,,0
UMTS,605,1,10005,75629,0,10.21,36.764,1000,1,1,,,0
GSM,605,1,10005,10093,0,10.212,36.764,1000,1,1,,,0
UMTS,605,2,137,1295453,0,10.211,36.764,1000,1,1,,,0
UMTS,605,3,2215,39498593,0,10.215,36.764,3384,1,1,,,0
UMTS,605,3,2154,139835,0,10.21,36.764,1000,1,1,,,0
UMTS,605,1,10005,65877,0,10.204,36.765,1000,1,1,,,0
UMTS,605,2,137,313803,0,10.206,36.765,1000,1,1,,,0
UMTS,605,3,2154,163264,0,10.214,36.765,1000,1,1,,,0
LTE,605,2,137,11565579,0,10.205,36.766,3720,1,1,,,0
UMTS,605,2,137,262407,0,10.208,36.766,1000,1,1,,,0
UMTS,605,3,2154,133264,0,10.21,36.766,1000,1,1,,,0
UMTS,605,3,2154,133269,0,10.21,36.767,1000,1,1,,,0
GSM,605,3,1245,24287,0,10.208,36.767,3091,1,1,,,0
UMTS,605,3,2245,39498324,0,10.206,36.767,2501,1,1,,,0
LTE,605,2,137,11526669,0,10.212,36.768,1000,1,1,,,0
UMTS,605,1,10005,77776,0,10.21,36.768,2508,1,1,,,0
UMTS,605,2,137,262410,0,10.209,36.768,1000,1,1,,,0
LTE,605,2,137,11526667,0,10.215,36.768,1000,1,1,,,0
LTE,605,3,4154,3074315,0,10.207,36.769,1000,1,1,,,0
UMTS,605,3,2154,132665,0,10.215,36.769,1000,1,1,,,0
GSM,605,3,1119,17901,0,10.206,36.769,3699,1,1,,,0
UMTS,605,2,137,262408,0,10.215,36.769,1000,1,1,,,0
LTE,605,2,137,11526659,0,10.212,36.77,3739,1,1,,,0
UMTS,605,1,10005,67220,0,10.215,36.77,1000,1,1,,,0
UMTS,605,3,2154,133270,0,10.206,36.771,1000,1,1,,,0
UMTS,605,3,2154,133265,0,10.206,36.771,1000,1,1,,,0
UMTS,605,1,10005,75852,0,10.213,36.771,1000,1,1,,,0
UMTS,605,3,2154,133123,0,10.205,36.771,1000,1,1,,,0
